NMFS_DNA_ID,BOX_ID,BOX_POSITION,PLATE,PLATE_POS,Sort,SAMPLE_ID,ANALYSIS_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,LATITUDE_F,LONGITUDE_F,HATCHERY,STRAIN,LOCATION_COMMENTS_F
T027488,T290,1B,TGV,1B,13,S060102FRH,FRHsp_01,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,740,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027488,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027489,T290,1C,TGV,1C,25,S060103FRH,FRHsp_02,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,851,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027489,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027490,T290,1D,TGV,1D,37,S060104FRH,FRHsp_03,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,894,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027490,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027491,T290,1E,TGV,1E,49,S060105FRH,FRHsp_04,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,815,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027491,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027492,T290,1F,TGV,1F,61,S060106FRH,FRHsp_05,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,835,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027492,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027493,T290,1G,TGV,1G,73,S060107FRH,FRHsp_06,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,875,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027493,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027494,T290,1H,TGV,1H,85,S060108FRH,FRHsp_07,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,787,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027494,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027495,T290,2A,TGV,2A,2,S060109FRH,FRHsp_08,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,760,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027495,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027496,T290,2B,TGV,2B,14,S060110FRH,FRHsp_09,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,740,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027496,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027497,T290,2C,TGV,2C,26,S060111FRH,FRHsp_10,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,861,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027497,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027498,T290,2D,TGV,2D,38,S060112FRH,FRHsp_11,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,756,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027498,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027499,T290,2E,TGV,2E,50,S060113FRH,FRHsp_12,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,808,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027499,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027500,T290,2F,TGV,2F,62,S060114FRH,FRHsp_13,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,817,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027500,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027501,T290,2G,TGV,2G,74,S060115FRH,FRHsp_14,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,766,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027501,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027502,T290,2H,TGV,2H,86,S060116FRH,FRHsp_15,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,775,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027502,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027503,T290,3A,TGV,3A,3,S060117FRH,FRHsp_16,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,717,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: Y, Note: 103, Race: Spring",T027503,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027504,T290,3B,TGV,3B,15,S060118FRH,FRHsp_17,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,791,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027504,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027505,T290,3C,TGV,3C,27,S060119FRH,FRHsp_18,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,818,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027505,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027506,T290,3D,TGV,3D,39,S060120FRH,FRHsp_19,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,838,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027506,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027507,T290,3E,TGV,3E,51,S060121FRH,FRHsp_20,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,839,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027507,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027508,T290,3F,TGV,3F,63,S060122FRH,FRHsp_21,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,730,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027508,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
